title,label
আপনার ফ্রেন্ড রিকুয়েস্ট কারা ঝুলিয়ে রেখেছে দেখে নিন,0
"ঢাকায় জনপ্রিয় হচ্ছে পুরুষ প’তি’তা পিছিয়ে নেই মেয়েরাও, কিভাবে কি করে ওরা দেখুন…",1
পরীমণি ইস্যুতে নতুন তথ্য দিলেন জায়েদ খান,0
একই বি’ছানায় আপন তিন বোনের এক স্বা’মী!,1
এক বয়ফ্রেন্ডের সঙ্গেই অ’ন্তরঙ্গ মুহূর্ত ভাগাভাগি করে ২ বোন,1
৪ বছর বয়সেই পিতা হলেন শহর আলী!,1
ভেন্টিলেটর তৈরি করলেন সিলেটের চার ‘বিস্ময় তরুণ’,0
"বিয়ে সংক্রান্ত ওয়েবসাইটে মিথ্যা প্রোফাইল বানিয়ে যৌ'ন হেনস্থা, ভারতে যুবক গ্রে'প্তার",0
ফাইজারের টিকা নিয়ে সুখবর জানালেন স্বাস্থ্যমন্ত্রী,0
গ্যাস্ট্রিকের সমস্যা এড়াতে যে বিষয়গুলো মাথায় রাখবেন,0
২ হা’জার বছরের পুরোনো ক’বরে পাওয়া গেলো আইফোন!,1
ঠিকমতো পারিশ্রমিক পেলে গাড়ি-বাড়ি থাকত,1
"অবিশ্বাস্য হলেও সত্য এখন থেকে ভাড়ায় পাওয়া যাবে বউ, ছেড়ে দিতে পারবেন মন মতো",1
যেখানে প্রথমবার একসঙ্গে রিয়াজ-পপি,1
দেড় বছর পর আড়াল ভেঙে শুটিংয়ে ফিরছেন শখ,0
প্রোটিয়াদের বিপক্ষে লঙ্কানদের লড়াকু পুঁজি,0
বেপরোয়া স্ত্রী নিয়ে বি’পাকে সেনা সদস্য,0
বিশ্বে ক'রোনায় মৃ'ত্যু ৩৭ লাখ ৮৮ হাজার ছাড়াল,0
দুবাই-আবুধাবি বাস সার্ভিস পুনরায় চালু,0
ফেসবুকে ‘বুড়ো’ হওয়ার ট্রেন্ড: আপনার তথ্য বিক্রি হয়ে যাচ্ছে!,1
"আগামী’র ভার্চ্যুয়াল অনুষ্ঠানে পাপেট, গান ও আড্ডা",0
"আমি পুরোটাই সিঙ্গেল, প্রকাশ্যে জানিয়ে দিলেন অভিনেত্রী শ্রাবন্তী",0
শিশুদের ইন্টারনেট ঝুঁকি কমাতে শিক্ষক-অভিভাবকদের স্মার্ট হতে হবে,0
অভিনয় আমার কাছে এবাদতের মতো: তারিন,0
ভাইরাল জ্বর সারাতে ভেষজ উপাদান,0
প্রকৃত শিল্পীরা কখনো খারাপ হতে পারে না,1
তিন মিনিটেই পাবেন গোলাপি ও নরম ঠোঁট,1
"এই ৭ ক্রিকেটার তাদের বোনকে বিয়ে করেছেন, এরমধ্যে বাংলাদেশি ৩ জন",1
"আমাদের শাকিব আছে, আমরাও একদিন টাইটানিক বানাবো: কাদের",0
বাবার স্বপ্ন পূরণ হোক!,1
শহর ছেড়ে গ্রামে গিয়ে কেনো মা হচ্ছেন অভিনেত্রী শখ?,1
প্রবাসীর ২২ বছরের বউকে বিয়ে করলো ১৪ বছরের তরুণ!,0
কারাগার থেকে রায়হানের স্ত্রীকে বিয়ের প্রস্তাব পাঠালেন এসআই আকবর,0
হোটেল স্পন্সর খুঁজছেন পরীমণি,0
"ফেসবুক-ম্যাসেঞ্জার ডাউন, ভোগান্তিতে কোটি গ্রাহক ",0
পুরুষের সঙ্গে ৬টি ‘মাইন্ড গেম’ খেলেন নারীরা,1
রাত ১২টায় চমকে গেলেন অপু বিশ্বাস,1
বীজবিহীন পেয়ারা চাষে সফলতা,0
শা’রীরিক মি’লনের সময় এই ভুলগুলো করলে আপনার কখ’নোই সন্তান হবে না!,1
"গার্মেন্টস খোলায় ঢাকার পথে বাবা, রাস্তায় দুই ছেলে রেখে মা উধাও",0
গরু কিনে ধরা খেলেন আবুল হায়াত,0
কেন একটি আম বিক্রি হচ্ছে এক হাজারে,1
পরীমনির বিরুদ্ধে গুরতর যেসব অভিযোগ পাওয়া গেছে,0
"সেমিফাইনালে যাওয়ার একটি সূক্ষ্ম সুযোগ আছে ভারতের, দেখে নিন সমীকরণ",0
মাত্র ১৫ বছর বয়সে মা হয়েছিলেন ঐশ্বরিয়া রায় এমনই চা-ঞ্চ-ল্য-কর দা-বি উঠে এলো প্রকাশ্যে বেড়েছে বচ্চন পরিবারে জল্পনা!,0
আর্জেন্টিনা ম্যাচের স্কোয়াড জানালো ব্রাজিল,0
একটি গানের জন্য মোটা অঙ্কের পারিশ্রমিক পাচ্ছেন সামান্থা,1
"এই শীত কাটিয়ে দিন গোসল না করেই, জেনে নিন গোসলের ১০টি বিকল্প উপায়",1
"ফ্যাক্টরিতে কিভাবে পরিশোধিত করে খাটি সোনা তৈরি করা হয়, আর কেনেই বা কেউ সোনার ফ্যাক্টরিতে কাজ করতে চায়না।",1
"এনজিওর মামলায় মা গ্রেফতার, বাড়িতে কাঁদছে দুধের শিশু",0
সালমান খান আরও পরিশ্রম করতে চান,0
অভিযোগের তীর ভেঙ্গে টানা দ্বিতীয় সেঞ্চুরি,1
বাকেরগঞ্জের ওসিসহ ৪ পুলিশের বিরুদ্ধে ব্যবস্থা নেওয়ার নির্দেশ,0
অভিনেত্রী যুবিকা চৌধুরী গ্রে’ফ’তার!,0
হাজার কোটিবারেরও বেশি ডাউনলোড হয়েছে গুগলের যেসব অ্যাপ - Techzoom.TV,1
কুকুর অপসারণ বন্ধে আদালতে অভিনেত্রী জয়া আহসান,0
স্কুলজীবনেই অমির সঙ্গে বন্ধুত্ব হয় পরীমনির!,0
সালমান আমাকে একাধিকবার ……করেছে,1
চলতি মাসেই একাধিক ঘূর্ণিঝ’ড়ের আভাস,0
টুপাক শাকুরের পাতানো সন্তান “আইভরি শাকুর” এর সাথে একটি ব্যক্তিগত সাক্ষাৎকার - Bengal Beats,0
"নতুন বউকে কোলে নিতে গিয়ে সপাটে আছাড় খেয়ে চিৎপটাং বর, নেটদুনিয়ায় তুমুল ভাইরাল ভিডিও",1
পূর্ণিমার পান বিক্রির ভিডিও ভাইরাল,1
বিড়ির ভাগ না দেয়ায় পিটিয়ে আহত ! নোয়াখাইল্লা আটক,0
স্মার্টফোন নকিয়া ও শাওমি তৈরি হচ্ছে বাংলাদেশে,0
আমার সবচেয়ে বড় ক্ষতি করেছেন হুমায়ূন আহমেদ : নায়ক রিয়াজ,1
ভাইকে বাঁচাতে গিয়ে ডুবে মরল শিশু লিথুনও,0
ডিজিটাল নিরাপত্তা আর নাগরিকের ডিজিটাল স্বাধীনতা সমান গুরুত্বপূর্ণ - Techzoom.TV,0
"সংযুক্ত আরব আমিরাত প্রবাসীরা স্বস্তিতে, স্বাভাবিক হয়েছে ফ্লাইট",0
দীর্ঘ দিনের প্রেম সফল করতে চাচি-ভাতিজার কা’ণ্ড!,1
উইন্ডোজ ১১ ব্যবহার করুন হেলথ চেকআপ ছাড়াই,0
