title,label
不懂这些互联网黑话，都没法聊天,1
如何一秒辨别朋友圈的伪名媛？,1
【有人@你】微信的这些新功能，你想要吗？,1
名媛们的私密聊天记录曝光,1
为什么你的男朋友越来越冷淡了？,1
《有钱人假期花钱报告》,0
国庆朋友圈现状一览,0
北上广深的精英们，有多“讨厌”老家？,1
这些女人聊天，处处都是潜台词,1
成人世界の敏感话题（内容过于真实）,1
这就是你放假后的自拍,1
30岁男人不可告人的过往一览,1
这才是最该上热搜的消息,1
新新青年の就业名场面,0
男女间最尴尬的聊天记录（看不下去了）,1
都市男女不可告人的夜生活,1
那些「忘回消息」的人,1
千万别看单身女人的朋友圈,1
绿茶最爱说的骚话TOP 1,1
成人内容（过于不忍直视）,1
《成年男女不可描述的纵欲方式》,1
女人最爱第几任男朋友？,1
最容易被人爱上の微信聊天技巧,1
同居3年的男女，看对方有多不顺眼？,1
如何一句话搞哭一个90/00后？,1
你有多久没发“全部朋友可见”的朋友圈了？,1
都市男女的夜生活有多野？,1
找个能聊天的人有多难？,1
“这样聊天，真的很加分”,1
月薪3千的烦恼 VS 月薪3万的烦恼,0
我干干干干干不动了,1
那些消失在朋友圈的中年男人,1
这才是朋友圈里的隐形富豪,1
北上广的女人，欲望有多强？,1
富婆的内心，有多少欲望？,1
搞哭一个成年人有多简单？,1
这才是你不想聊天的原因,1
成 人 故 事,1
单身男女の爽点大赏,1
成年人的恋爱能谈多久？,1
“我已经很久没发过朋友圈了”,0
富婆们难以启齿的烦恼,1
男人真的都会联系前任吗？,1
同居后最容易吵架的行为Top1,1
如果生活可以二倍速……,0
不可描述的男女同居生活,1
那些从不在朋友圈炫富的人,1
你为什么不联系微信好友了？,1
20多岁的我，已经禁欲了,1
别在微信里这样聊天,1
我 被 绿 了,1
一夜暴富的12种方法.doc,1
月薪3万的人，都这么聊天,1
千万别惹女友生气！！！,1
绝对不要和男友同居！！！,1
你眼中的自己 VS 别人眼中的你,0
95后最讨厌的言论TOP 1,1
这就是男人遇到前任的样子,1
男女关系里，有哪些让人绝望的瞬间？,1
成年人聊天，有多少潜台词？,1
20多岁的男人有多敏感？,1
这就是你存不下钱的原因,1
你眼中的老板 VS 老板眼中的你,0
男人手机里，有什么见不得人的秘密？,1
《同居后的20个变化》,1
你和那只憨憨企鹅，有什么共同点？,1
朱朝阳的童年 VS 你的童年,0
这才是我最想要的微信新功能,1
如何判断男人靠不靠谱？,1
千万别和前任见面,1
20多岁的女人，已经不想禁欲了,1
95后不想在朋友圈崩溃,0
最令人讨厌的话No.1,1
你爸私底下原来是这样的？！,1
偷看前任朋友圈的人，都在想什么？,1
乘风破浪的女老板们，背后有多苦？,1
被成熟男人宠上天有多爽？,1
“到了25岁，该禁欲了”,1
这就是有钱人的烦恼,1
热恋中的男人和女人有什么不同？,1
我劝你，千万不要来武汉上大学！,1
《致2020的毕业生们》,0
《夏天里最幸福的30个瞬间》,1
当一个95后决定来到北上广,0
我为什么不爱刷微博了？,1
25岁的男人，欲望到底有多强？,1
广东的雨又上热搜了,0
30岁的人如何装嫩？,1
如何辨别身边的真·有钱人？,1
如何看懂富豪的朋友圈？,1
和温柔的人在一起有多重要？,1
一对95后情侣的同居日记,0
《成年人最卑微的20个瞬间》,1
小心翼翼的女生们，到底在怕什么？,1
爱情保质期到底有多短？,1
城市复苏，正在加载中......,0
男女之间最舒服的相处模式是什么？,1
让人一秒崩溃的10件小事,1
追星追成这样，有必要吗？,1
你为什么不喜欢聊天了？,1
2020全国统一行为大赏（史上最全）,1
这才是最值得出道的女人,1
这就是你面试时的样子,1
别人的20岁和你有什么不同？,1
今年的创造营，也太太太疯狂了！,1
最令人讨厌的聊天方式Top 1,1
成熟的情侣关系应该什么样？,1
为什么你不再找人谈心了？,1
在娱乐圈工作有多不堪？,1
那些没有手机的日子，真的很快乐,0
这就是我有黑眼圈的原因,1
男人带娃VS女人带娃,0
95后的恋爱观，也太太太太太萌了吧！！！,1
海外华人华侨做错了什么？,1
如何度过恋爱的平淡期？,0
我被2020年啪啪啪啪啪啪啪啪了,1
如何一眼看穿老板的想法？,1
那些在爱情里小心翼翼的人,1
为什么你决定离开北上广深？,1
如何表白最容易成功？,1
你和吴彦祖有什么共同点？,1
我的武汉，回来了,0
当红歌手们聚在一块儿，会聊些什么？,1
猫走丢后的24小时,0
我不想在朋友圈看到这种人,1
2020全国各地开学时间一览表,0
成年人的快乐有多短？,1
N号房背后：女孩到底怕什么？,1
意大利人在家隔离 vs 我在家隔离,0
“2020年必做的几件小事”,1
互联网大佬都是这样聊天的,1
重启2020的正确方式,0
真正的隐形富豪，都是怎样花钱的？,1
澳籍跑步女哪来的优越感？,1
2020年的春天不该被忘记,0
如何一句话引起富婆的注意？,1
“2020毕业生真是天选之子”,0
单身女人的手机里，都有什么宝贝？,1
禁欲系男人 VS 纵欲系女人,1
月入过万的白领，真的太太太卑微了,1
如何看穿女人的内心？,1
“一个中国男孩的表白”,0
我习惯了被人屏蔽,0
逼疯一只狗有多简单？,1
温柔到底有多重要？,1
2020宅家娱乐指南,0
禁欲的你 VS 纵欲的你,1
如何一秒看穿男人的谎言？,1
在国外第一天 VS 在国外第一年,0
男女之间最敏感的问题是什么？,1
我不想再放假了,0
人到30岁应该明白的11件事,1
“我想你再陪陪我”,0
在家这样发朋友圈，你就赢了,1
“我在等你回家”,0
为什么我关闭了朋友圈？,1
疫情下的情人节,0
这就是你在家隔离时的样子,1
疫情消失后的24小时,0
男人独自在家能有多骚？,1
10天前的我 VS 现在的我,0
这是我最想收到的一条微信,1
《被深爱着的8个瞬间》,1
爱情的保质期有多长？,0
男人忘不掉哪种前任？,1
为什么你谈恋爱比别人难？,1
回家第一天 VS 回家第七天,0
男人什么时候最想和前任复合？,1
《90后春节崩溃行为大赏》,0
我怀念不用微信的日子,0
在抖音，我看到了生活被点亮的样子,0
总有人在等你回微信,0
《北上广青年返乡日记》,0
“我越来越喜欢单身生活了”,0
过年这样聊天，最讨人喜欢,1
有钱人都是怎样过年的？,1
分手有什么前兆？,1
男人什么时候最虚伪？,1
当代女白领，都是怎样搞钱的？,1
《男人春节出游求生手册》,0
90后社交 VS 00后社交,0
成年人都是怎样道别的？,1
这就是没人找你聊天的原因,1
《都市青年春节自救指南》,0
“猫知道爱情的真相”,0
为什么男人总是经不住诱惑？,1
如何一眼分辨90后和00后？,1
让女人起床有多难？,1
和柔软的人在一起，真的很舒服,0
别羡慕那些活在朋友圈的人,0
2020最让人爽的30件事,1
10年前过年 VS 现在过年,0
“我从未埋怨过2019年”,0
这就是你在前任眼中的样子,1
男人哪里最柔软？,1
一个95后的2019年加班总结,0
爽爽爽爽爽好爽呀,1
我的2019年度总结：单身和加班,0
别人过平安夜 VS 你过平安夜,0
东北人过冬有多生猛？,1
2020春节延长放假通知,0
“这些话真的很伤人”,1
请别靠靠靠靠靠靠我那么近,1
这就是惹毛女人的下场,1
传媒人的朋友圈有多劲爆？,1
20多岁，怎样才能不慌？,1
永远别进女人的房间，永远！,1
在互联网公司上班 VS 在金融公司上班,0
如何一句话让互联网人崩溃？,1
谁说异地恋撑不过2年?,1
我一定是疯疯疯疯疯了才来做运营,1
如何辨别健身房里的有钱人？,1
“那些被我删掉的朋友圈”,1
如何毫不费力地成为人生赢家？,1
恋爱谈到第5年，还能怎么谈？,1
女人有哪些不为人知的秘密？,1
《25岁以后的30个变化》,1
如何一句话让男朋友心软？,1
有钱人最说不出口的7个烦恼,1
“我习惯了被你偏爱的感觉”,0
北方的冬天 VS 南方的冬天,0
和温柔的人在一起有多舒服？,1
怎样辨别重庆人和成都人？,1
这样聊天的人有多讨厌？,1
不会拒绝的人真是太太太不容易了！,1
《成年人聊天潜台词大赏》,0
这就是男人不追女人的原因,1
如何区分好感和真爱？,1
那些在大公司上班的人，不值得羡慕,1
这届90后妈妈真是太太太太太猛了！,1
《成熟男人速成指南》,0
27岁应该混成什么样？,1
这就是女人当妈后的样子,1
成年人最难受的10个瞬间,1
“年轻人最羞耻的5个秘密”,1
哪个省的女人花钱最猛？,1
非常厉害の微信聊天模板大全,1
在北上广，怎样过上精致的生活？,1
“成年人最见不得人的10个秘密”,1
为什么月薪过万的人容易单身？,1
我为什么劝你不要养猫？,1
结婚后的女人，是怎么崩溃的？,1
怎样培养一段成熟的男女关系？,1
月入10万和月入100万的男人，有什么区别？,1
90后早睡有多难？,1
什么样的人值得被喜欢？,1
“这就是我不喜欢自拍的原因”,1
程序员没你想的那么简单,0
《最让人舒服的28件小事》,1
单身女人聊天有多撩？,1
南方人吃火锅 VS 北方人吃火锅,0
湖南人凭什么纵横北上广？,1
这才是最舒服的男女关系,1
那些当妈的90后，现在怎么样了？,1
怎样辨别朋友圈里的有钱人？,1
如何用一句话骗1000个点赞？,1
《最让人反感的5种讲话方式》,1
为什么我只敢在微信上找你？,1
“这就是我谈不了恋爱的原因”,1
和这样的人聊天，真的很心累,1
