title,label
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,1
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",0
"Terkait Mayat Bayi Mengenaskan di Tangerang, Seorang Pria Ditangkap Polisi",0
"Uang Rp 1,6 M yang Raib di Parkiran Kantor Gubernur Sumut untuk Honor TAPD",0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,0
Muncul Istana di Tengah Rekonsiliasi Rusuh Papua,0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",1
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,1
"Mayat di Ladang Tebu Malang Adalah Begal, Dibunuh Remaja yang Dipalaknya",0
"Jenguk BJ Habibie, Ketua Dewan Pers M Nuh: Prosesnya Positif, Bagus",0
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,0
Seorang Pria Depresi Bakar Mobilnya Sendiri di Tempat Pembuangan Akhir,0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",0
JK Jenguk Habibie di RSPAD Gatot Soebroto,0
"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",0
Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan,0
Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan,0
KPK Cegah Ketua Fraksi Golkar Melchias Mekeng ke Luar Negeri,0
"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi",0
"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",0
"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam",0
"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat",0
KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan,0
ACT Inisiasi Gerakan Nasional #IndonesiaDermawan,0
Demokrat Dukung Langkah Jokowi Bangun Istana di Papua,0
Menkum HAM Sudah Kaji Draf Revisi UU KPK,0
MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta,0
Detik-detik Lima Kendaraan Alami Kecelakaan Beruntun di Cipularang,1
Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur,1
"Selidiki Kasus Ular Dibuang di Asrama Papua, Polisi Terganjal Akses Masuk",0
KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik,0
Kronologi Barista Tikam Siswi SMK Bandung karena Cinta Ditolak,0
Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan,0
Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri,0
6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel,0
"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia",0
"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya",0
"Respons JK, KPK Sebut SP3 Bisa Disalahgunakan",0
"Hampir Seluas Jabar, Ini Tantangan Sintang Siapkan Generasi Emas",1
"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi",1
